Gene	Astrocyte	Endothelial	Excitatory	Inhibitory	Microglia	Oligo
ABCC9	152.75528	27.947311	2.847533	0.0	0.0	0.61349
ABO	8.991097	0.949444	0.866483	0.0	0.109214	0.447831
ACCS	18.031603	0.0	0.180471	0.232527	5.054161	20.196131
ADAMTS4	0.912492	747.729797	3.303293	0.14508	20.71299	328.983948
ADPRH	4.114447	13.034012	0.109214	0.0	7.513885	4.514905
AHNAK	55.348518	47.236458	1.644249	0.352071	0.138958	0.180471
AKNA	0.717406	0.161437	2.337557	0.912492	17.111677	13.585332
ALDH1L1	135.800369	0.0	0.301792	0.0	0.252056	1.230956
ALOX5AP	0.050662	0.0	1.049473	4.243459	2340.328613	8.991097
ANKRD44	69.327682	13.348807	34.489288	116.446732	346.867767	236.147491
ANXA1	0.0	604.777466	40.986797	0.169884	0.128856	1.767061
ANXA2	1.230956	110.008522	0.138958	2.091062	1.348512	0.373288
APBB1IP	1.399147	0.0	0.085815	1.644249	124.532722	0.0
APOC1	101.029221	0.275278	0.949444	2.435296	87.689209	0.0
APOD	33.656281	6982.481934	107.770195	516.830444	75.025291	2063.162354
APOLD1	3.500858	3399.429932	0.252056	0.0	0.339902	12.127246
ARHGAP15	0.749836	0.023403	53.219112	1.552417	152.75528	12.421024
ARHGAP25	3.303293	0.07505	14.551047	0.275278	243.79097	0.161437
ARHGAP30	2.548051	0.040526	0.0	0.0	2.435296	0.138958
ARPC1B	5.639621	1.230956	35.677277	2.664538	18.031603	0.527596
ARRDC5	0.0	0.045511	0.0	0.0	59.514709	0.0
ATF3	11.60307	478.252747	3.966752	4.93737	48.395123	97.487526
ATF4	221.294998	1265.892944	208.0177	264.760071	264.760071	478.252747
ATP13A4	912.91925	0.14508	37.962456	23.234684	0.10282	13.034012
ATP1A2	2545.672119	1351.87207	116.446732	89.762787	2.664538	58.785618
ATP1B1	160.055573	356.492126	2959.2229	16638.257812	160.055573	912.91925
B2M	679.465088	16638.257812	356.492126	1134.246338	4761.45459	1050.694092
B3GNT7	0.093492	31.981226	2.548051	157.243866	0.085815	178.599869
B4GALT1	30.485533	298.341736	9.813123	9.583197	236.147491	0.467533
BCL2A1	5.054161	0.128856	0.128856	25.678423	2545.672119	2.847533
BHLHE40	228.1026	388.711975	62.542725	35.677277	2.762854	1.293793
BNIP2	56.184532	56.184532	7.178958	15.047935	157.243866	130.97525
BSN	2.259212	1.049473	91.417465	37.962456	0.15135	9.813123
BTK	0.023403	1.767061	1.150978	4.514905	13.348807	26.121153
C3	0.040526	0.0	0.204723	1.00281	1134.246338	2.973605
CALB2	23.234684	70.52636	26.121153	1767.590576	1.552417	77.118645
CAMK2A	10.018604	1.987264	388.711975	221.294998	0.405803	12.740485
CARD9	0.085815	0.0	0.023403	0.0	0.717406	0.0
