Gene	rpkm10_bulk	rpkm15_bulk	rpkm18_bulk
ABCC9	0.03902	0.022048	0.015579
ABO	0.688423	0.833476	1.0
ACCS	0.054677	0.214254	0.208099
ADAMTS4	0.059223	0.230167	0.140286
ADPRH	0.009936	0.035722	0.053971
AHNAK	0.0	0.0	0.0
AKNA	0.000409	0.0	0.0
ALDH1L1	1.0	0.348456	0.337274
ALOX5AP	3.1e-05	0.0	0.000441
ANKRD44	0.210761	0.143167	0.062744
ANXA1	0.0	0.000399	0.000203
ANXA2	0.183179	0.440486	1.0
APBB1IP	0.05332	0.036467	0.035093
APOC1	0.0	0.0	0.002129
APOD	0.036485	0.063675	0.093425
APOLD1	0.003161	0.00184	0.001357
ARHGAP15	0.00144	0.0	0.0
ARHGAP25	0.0	0.0	0.00017
ARHGAP30	0.0	0.0	0.0
ARPC1B	0.434896	1.0	0.955836
ATF3	0.03992	0.052977	0.081436
ATF4	1.0	0.56788	0.517788
ATP13A4	0.000109	0.0	0.0
ATP1A2	0.095382	0.313125	0.375483
ATP1B1	0.515729	0.842421	0.68062
B2M	0.037194	0.078377	0.105624
B3GNT7	0.687896	0.18436	0.094327
B4GALT1	0.024138	0.021542	0.043124
BCL2A1	0.000208	0.0	2.2e-05
BHLHE40	0.209097	0.504397	0.315024
BNIP2	0.008817	0.0	0.001636
BSN	0.952456	0.688228	0.703497
BTK	0.043916	0.099951	0.140657
C3	0.000545	0.028577	0.048261
CALB2	0.296468	0.140677	0.037583
CAMK2A	0.426622	0.818497	1.0
CARD9	0.263872	0.0	1.0
CASP1	0.0	0.001343	0.008775
CCK	0.166972	0.152254	0.183924
CD300C	0.0	0.000522	0.000264
CD53	0.000734	0.000359	0.000359
CD55	0.002118	0.000282	0.0
CD83	0.002044	0.002483	0.002278
CD9	0.0	0.0081	0.010626
CEBPD	0.063403	0.369178	1.0
CELF2	0.447845	0.144489	0.129641
CHN1	0.002119	0.014616	0.022257
CLDN11	0.16138	1.0	0.596608
CLEC9A	0.0	0.0	0.0
CMTM7	0.57322	1.0	0.315449
CNKSR2	0.179076	0.210966	0.151931
CNN3	1.0	0.850004	0.90399
CNP	0.0	0.000143	0.000115
CNPY3	0.570402	0.384589	0.417277
CNR1	0.000328	0.000328	0.0
COL11A1	0.0	0.0	0.0
COL5A3	0.073302	0.146888	0.111741
COL9A1	1.0	0.296004	0.289205
CPE	0.534989	0.367113	0.399332
CPM	0.116653	0.152554	0.069114
CRY1	0.048961	0.020967	0.0
CRYAB	0.0039	0.045813	0.086714
CST3	0.247148	0.419904	1.0
CTSB	0.13606	0.13606	0.19321
CTSC	0.312666	0.214406	0.340161
CTSS	0.002574	0.014755	0.012269
CX3CR1	0.000238	0.0	0.0
CXCL16	0.139576	0.171438	0.300718
CYTL1	0.003788	0.001546	0.0
DAPP1	0.035684	0.009947	0.024194
DCN	0.0	0.0	0.0
DHRS3	0.061006	0.014911	0.025711
DHRS9	0.0	9e-05	0.00075
DLX1	1.0	0.201515	0.108309
DSCAM	1.0	0.577467	0.323377
DUSP6	0.033585	0.040414	0.035219
EDN3	0.000601	0.0	0.0
EDNRB	0.002241	0.004622	0.004487
EHD4	0.543433	0.848677	0.764551
EIF4EBP1	1.0	0.527278	0.592584
EMB	0.690061	0.660788	0.752734
ENC1	1.0	0.667248	0.445233
ENPP2	0.179686	0.17701	0.077856
EPAS1	0.565833	0.700879	0.617049
ERBB4	0.17286	0.056201	0.036001
ERMN	0.0	0.024686	0.010424
ESAM	0.070443	0.07452	0.080638
ETS2	0.001366	0.00077	0.000216
EZR	0.137199	0.144606	0.257708
F3	0.03661	0.071654	0.086374
FAM72A	1.0	0.45022	0.249614
FBP1	0.002424	0.000601	0.002424
FCER1G	0.005814	0.001897	0.0
FCGR2A	0.003488	0.003876	0.003488
FGF12	0.023364	0.008294	0.007912
FLT1	0.0	0.0	0.0
FOLR2	8.5e-05	0.0	0.0
FOXC1	0.024341	0.003446	0.005368
GABRA1	0.000184	0.002145	0.002614
GABRA5	0.000364	0.0	0.0
GAD1	0.000195	0.000195	0.000416
GAD2	0.380604	0.205369	0.391971
GAL3ST4	0.0	0.0	0.043512
GAP43	1.0	0.269195	0.112672
GBP2	0.029037	0.062406	0.129748
GFAP	0.492387	1.0	1.0
GJA1	0.117565	0.124951	0.190089
GLDN	0.0	0.001474	0.016115
GLIPR1	0.352178	0.129907	0.143578
GLTP	0.450126	0.649432	0.300538
GLUL	0.414175	0.581336	1.0
GNB4	0.543566	0.463929	0.269072
GPI	1.0	0.867851	0.867851
GPR37	0.042055	0.325697	0.183193
GPR37L1	0.197708	0.735275	0.809147
GPX1	0.341725	0.264111	0.816374
GRIA4	0.277752	0.179332	0.156753
GRIK2	0.207059	0.173567	0.069439
GSTP1	0.455977	0.551541	1.0
HAMP	0.026903	0.035655	0.016385
HCK	0.106377	0.028405	0.000723
HCLS1	0.008369	0.008369	0.012543
HHIP	0.087098	0.398635	0.139556
HK2	0.169056	0.195345	0.109205
HLA-DRA	0.0	8.4e-05	0.000112
HMGCS1	0.0	3.3e-05	0.0
HPGD	0.828867	1.0	0.911942
HSPA2	0.0	0.000129	0.0
