Gene	Astrocyte	Endothelial	Excitatory	Inhibitory	Microglia	Oligo
ABCC4	0.298405	0.733851	0.0	3.573356	261.439952	1.13284
ABCC9	104.209589	42.926037	2.586768	0.199205	0.0	0.130301
ABO	6.21864	1.631398	0.491786	0.139018	0.0	0.099915
ACCS	12.054297	0.0	0.076571	2.263264	13.644611	5.069644
ADAMTS4	0.872035	787.669827	2.856338	1.473002	68.901804	157.503208
ADPRH	3.011135	19.898947	0.0	0.43723	27.235093	0.921415
AHNAK	36.542648	69.043459	1.3946	2.483273	0.0	0.047664
AKNA	0.70627	0.040659	2.020642	4.024634	56.693063	2.997905
ALDH1L1	83.976129	0.0	0.169942	0.194624	0.144152	0.228113
ALOX5AP	0.074479	0.0	0.673587	9.776595	4156.96884	1.751707
ANKRD44	46.446099	21.12062	30.732101	88.69461	585.797565	125.507482
ANXA1	0.0	678.941324	35.714575	1.796923	0.0	0.372892
ANXA2	1.25922	147.60205	0.045706	5.922607	1.04695	0.09379
APBB1IP	1.360091	0.0	0.0	5.239872	315.689217	0.0
APOC1	69.257041	0.203576	0.608055	7.171128	266.633419	0.0
APOD	22.171662	7061.317219	88.52822	246.395124	258.240008	2880.836614
APOLD1	2.638463	2511.110675	0.150972	0.747801	0.170813	2.764088
ARHGAP15	0.717126	0.0	44.363693	5.19448	363.709388	2.804589
ARHGAP25	2.429844	0.0	14.114344	2.306879	495.717513	0.041479
ARHGAP30	1.995132	0.0	0.0	0.161565	3.074897	0.037515
ARPC1B	4.772908	2.693716	31.472519	7.68708	59.424667	0.108239
ATF3	7.805076	572.202502	3.248333	10.733991	179.667925	36.677742
ATF4	151.280216	1331.838787	142.396252	159.367613	514.668049	336.80708
ATP13A4	770.717116	0.0	33.65929	26.522786	0.0	2.880473
ATP1A2	3915.006036	1347.383678	91.479986	65.55279	3.247694	22.103976
ATP1B1	110.049813	470.219241	1484.581785	3005.396035	384.216817	1345.348424
B2M	592.531867	12585.53127	306.276369	635.294061	8494.181535	1486.923152
B3GNT7	0.109446	49.867249	2.150453	105.353008	0.0	82.807138
B4GALT1	20.892378	350.91704	9.097031	14.511797	492.240509	0.103199
BCL2A1	4.123938	0.0	0.0	27.560005	4277.222931	0.585662
BHLHE40	167.787601	486.761468	54.039438	33.178035	3.703802	0.231259
BNIP2	37.7716	76.67677	6.642952	20.07433	375.796716	48.336883
BSN	1.778707	2.081925	73.188053	35.758517	0.040587	1.964475
BTK	0.047412	3.323408	0.752588	10.288263	49.902627	8.718935
C3	0.060353	0.0	0.107621	4.235048	1906.353716	0.683182
CALB2	16.780518	101.191787	21.822066	1081.705666	1.546759	30.673956
CAMK2A	6.795508	3.517587	319.68936	139.4252	0.205022	2.825659
CARD9	0.105037	0.0	0.0	0.151407	0.344686	0.0
CASP1	2.011598	24.829881	0.0	0.410417	344.620455	2.951828
CCK	71.306215	70.012148	756.726902	1890.06607	0.0	65.278196
CD300C	0.0	0.0	8.814075	9.859979	482.540486	0.0
